Coral_Species,Coral_Tag,order,Seq_ID(s),Site,Disturbance_Level,Disturbance_rank,Before,Early,Late,After,Legend,Legend2,,,,,
Favites,4,18,"2015b-002, BG3, OR4",35,Medium,3,2,2,4,0,,Not found/sampled,,,,,
Favites,192,14,"2015c-200, 2014-192",38,Low,4,2,2,4,0,,Alive but not sampled,,,,,
Favites,205,15,"BG209, 2014-205, BL196",38,Low,4,2,2,3,0,,Cladocopium-dominated,,,,,
Favites,213,16,"BG216, 2014-213",38,Low,4,2,2,0,3,,Durusdinium-dominated,,,,,
Favites,231,17,"OR231, 2015c-178",3,Low,4,2,2,0,9,,Dead,,,,,
Favites,245,19,2014-245,8,Medium,3,2,0,0,0,,Gone,,,,,
Favites,249,20,OR249,8,Medium,3,2,0,0,0,,Dead or gone,,,,,
Favites,271,39,"P163, G197, OR271",27,VeryHigh,1,3,1,4,0,,Symbiodinium,,,,,
Favites,285,21,"2014-285, BL107",14,Medium,3,2,0,9,0,,Mixed - A and D,,,,,
Favites,298,22,OR298,14,Medium,3,2,0,4,0,,Mixed - C and D,,,,,
Favites,341,23,"BG509, OR341, BG494",34,Medium,3,2,2,4,0,,Mixed C and A,,,,,
Favites,352,24,OR352,34,Medium,3,2,0,0,0,,,,,,,
Favites,373,32,"OR373, BG399",25,High,2,2,2,0,0,,,,,,,
Favites,386,40,"BL82, P145, BG336, OR386",30,VeryHigh,1,3,3,3,3,1,,,,,,
Favites,400,33,BG411,25,High,2,0,2,0,3,2,,,,,,
Favites,435,41,"2014-435, G65, BG345",30,VeryHigh,1,2,9,4,0,3,,,,,,
Favites,439,42,"BL86, BG350, G68, 2014-439",30,VeryHigh,1,3,3,3,3,4,,,,,,
Favites,449,43,2014-449,27,VeryHigh,1,3,0,0,0,0,,,,,,
Favites,454,44,OR454,27,VeryHigh,1,3,0,0,0,5,,,,,,
Favites,473,45,2014-473,27,VeryHigh,1,3,0,0,0,6,,,,,,
Favites,487,46,"BG434, G187",32,VeryHigh,1,3,3,0,4,8,,,,,,
Favites,492,47,"BG439, G191",32,VeryHigh,1,3,3,4,0,9,,,,,,
Favites,583,1,"P32, BG101",15,VeryLow,5,2,2,0,1,10,,,,,,
Favites,588,2,"G84, BL153, P37",15,VeryLow,5,2,1,3,9,,,,,,,
Favites,592,3,"BG112, P41",15,VeryLow,5,2,2,3,3,,,,,,,
Favites,597,4,"P46, BL159",15,VeryLow,5,2,1,3,3,,,,,,,
Favites,605,5,P57,15,VeryLow,5,2,0,0,3,,,,,,,
Favites,623,6,"BG145, P72",15,VeryLow,5,2,2,0,0,,,,,,,
Favites,628,7,"P77, BG142",15,VeryLow,5,2,9,0,9,,,,,,,
Favites,656,8,"BG25, G102",19,VeryLow,5,1,2,0,9,,,,,,,
Favites,685,48,2015b-147,27,VeryHigh,1,3,0,0,0,,,,,,,
Favites,719,25,"BG373, G184",8,Medium,3,2,2,4,0,,,,,,,
Favites,722,49,"G200, BG77",27,VeryHigh,1,3,3,4,0,,,,,,,
Favites,726,50,"2015b-204, BG82",27,VeryHigh,1,3,3,4,0,,,,,,,
Favites,729,51,"BG94, BL66",27,VeryHigh,1,0,3,3,3,,,,,,,
Favites,736,52,G214,27,VeryHigh,1,3,3,4,0,,,,,,,
Favites,770,53,"BL13, BG461, G247",32,VeryHigh,1,3,3,3,3,,,,,,,
Favites,772,54,"G249, BG448",32,VeryHigh,1,3,3,4,0,,,,,,,
Favites,781,26,"K15b-277, BG499",34,Medium,3,2,2,1,4,7,,,,,,
Favites,786,27,"BG502, BL282, BL119",34,Medium,3,2,2,3,3,,,,,,,
Favites,800,9,"G296, BG265",5,VeryLow,5,2,2,4,0,,,,,,,
Favites,810,10,"2015b-306, BG275",5,VeryLow,5,2,2,4,0,,,,,,,
Favites,844,28,"KI15b-340, BG519",34,Medium,3,2,2,3,9,,,,,,,
Favites,856,29,"BG503, BL352",34,Medium,3,2,2,4,0,,,,,,,
Favites,902,55,"c-232, BL20",32,VeryHigh,1,0,0,3,3,,,,,,,
Favites,911,30,BL29,8,Medium,3,0,0,3,3,,,,,,,
Favites,929,31,BL58,35,Medium,3,0,0,3,0,,,,,,,
Favites,937,56,BL70,27,VeryHigh,1,0,0,3,3,,,,,,,
Favites,1009,11,BL221,37,VeryLow,5,0,0,3,3,,,,,,,
Favites,1032,12,BL239,37,VeryLow,5,0,0,3,3,,,,,,,
Favites,1033,34,BL256,40,High,2,0,0,3,3,,,,,,,
Favites,1034,35,BL259,40,High,2,0,0,3,3,,,,,,,
Favites,1037,36,BL262,40,High,2,0,0,3,3,,,,,,,
Favites,1050,37,BL266,40,High,2,0,0,3,3,,,,,,,
Favites,412_892,38,"2014-412, 2015c-427",25,High,2,2,2,0,0,,,,,,,
Favites,482_897,57,"BL10, BG432, OR482",32,VeryHigh,1,3,0,3,3,,,,,,,
Favites,482_897b,58,,32,VeryHigh,1,0,3,0,0,,,,,,,
Favites,497_745,59,"G194, BL6, 2014-497",32,VeryHigh,1,3,1,3,3,,,,,,,
Favites,631b,13,BG144,15,VeryLow,5,0,2,0,0,,,,,,,
Platygyra,19,22,OR19,38,Low,4,2,0,0,0,,,,,,,
Platygyra,62,27,"OR62, P116, G167, 2015c-372, BL1",8,Medium,3,2,3,3,3,,,,,,,
Platygyra,99,28,"OR99, P103, G23, 2015c-018, BL49",35,Medium,3,2,2,3,3,,,,,,,
Platygyra,148,61,OR148,30,VeryHigh,1,3,0,0,0,,,,,,,
Platygyra,157,53,"OR157, BG161",3,High,2,2,2,0,8,,,,,,,
Platygyra,161,23,"2014-161, BG159",3,Low,4,2,2,0,0,,,,,,,
Platygyra,164,24,CHECK,3,Low,4,8,0,0,8,,,,,,,
Platygyra,223,25,"OR223, 2015c-171",3,Low,4,2,2,0,3,,,,,,,
Platygyra,234,26,"2014-234, 2015c-180",3,Low,4,2,2,0,1,,,,,,,
Platygyra,242,29,2014-242,8,Medium,3,3,0,0,0,,,,,,,
Platygyra,253,30,"OR253, P113, G164, BG365",8,Medium,3,2,2,4,0,,,,,,,
Platygyra,258,62,OR258,27,VeryHigh,1,3,0,0,0,,,,,,,
Platygyra,266,63,OR266,27,VeryHigh,1,9,0,0,0,,,,,,,
Platygyra,278,31,2014-278,14,Medium,3,2,0,0,0,,,,,,,
Platygyra,289,32,"OR289, BL108",14,Medium,3,2,0,3,0,,,,,,,
Platygyra,299,33,OR299,14,Medium,3,2,0,0,0,,,,,,,
Platygyra,306,34,OR306,14,Medium,3,2,0,0,0,,,,,,,
Platygyra,311,35,2014-311,34,Medium,3,9,0,0,0,,,,,,,
Platygyra,328,36,"OR328, BL255, BG488, BL116",34,Medium,3,2,0,8,3,,,,,,,
Platygyra,351,37,OR351,34,Medium,3,2,0,0,0,,,,,,,
Platygyra,353,38,"OR353, BL263, BG496",34,Medium,3,2,2,4,0,,,,,,,
Platygyra,371,54,2014-371,25,High,2,2,0,0,0,,,,,,,
Platygyra,379,55,"OR379, BG404",25,High,2,2,2,0,8,,,,,,,
Platygyra,389,64,"OR389, G102",30,Very High,1,2,0,0,0,,,,,,,
Platygyra,402,56,"OR402, BG415",25,High,2,2,2,0,0,,,,,,,
Platygyra,442,65,"2014-442, G69, BG348",30,VeryHigh,1,3,3,4,0,,,,,,,
Platygyra,447,66,OR447,27,VeryHigh,1,2,0,0,0,,,,,,,
Platygyra,455,67,"OR455, P160",27,VeryHigh,1,3,0,0,0,,,,,,,
Platygyra,461,68,OR461,27,VeryHigh,1,3,0,0,0,,,,,,,
Platygyra,466,69,"OR466, P156, G140, BG64",27,VeryHigh,1,3,3,4,0,,,,,,,
Platygyra,470,70,"OR470, P150, 2015b-138, BG72",27,VeryHigh,1,3,3,4,0,,,,,,,
Platygyra,479,71,2014-479,32,VeryHigh,1,3,0,0,0,,,,,,,
Platygyra,504,39,OR504,14,Medium,3,3,0,0,0,,,,,,,
Platygyra,594,1,"P43, BG114, BL158",15,VeryLow,5,2,2,2,2,,,,,,,
Platygyra,618,2,"P67, 2015c-129, BL169 [should be BL160?]",15,VeryLow,5,2,0,3,3,,,,,,,
Platygyra,637,40,"P97, G20, 2016a-047",35,Medium,3,2,2,3,0,,,,,,,
Platygyra,727,72,"G205, 2015c-083 [fixed]",27,VeryHigh,1,2,2,4,0,,,,,,,
Platygyra,735,73,"G213, BG65",27,VeryHigh,1,3,1,4,0,,,,,,,
Platygyra,742,74,"2015b-219, BG436",32,VeryHigh,1,3,3,4,0,,,,,,,
Platygyra,762,75,"G239, BG474",32,VeryHigh,1,3,3,4,0,,,,,,,
Platygyra,766,76,"G243, BG472",32,VeryHigh,1,3,3,4,0,,,,,,,
Platygyra,768,77,"G245, BG460",32,VeryHigh,1,3,3,4,0,,,,,,,
Platygyra,783,41,"BL279, BL118",34,Medium,3,2,2,3,8,,,,,,,
Platygyra,788,3,"2015b-284, BG253, BL88",5,VeryLow,5,2,2,3,3,,,,,,,
Platygyra,792,4,"G288, 2015c-254, BL89",5,VeryLow,5,2,2,1,3,,,,,,,
Platygyra,797,5,"G293, BG261, BL91",5,VeryLow,5,2,2,3,3,,,,,,,
Platygyra,807,6,"G303, BG273, BL104",5,VeryLow,5,2,2,3,1,,,,,,,
Platygyra,813,7,"G309, BG277, BL95",5,VeryLow,5,2,2,3,1,,,,,,,
Platygyra,820,8,"2015b-316, BG278, BL96",5,VeryLow,5,2,2,3,8,,,,,,,
Platygyra,824,9,"G320, 2015c-283, BL101",5,VeryLow,5,2,2,3,3,,,,,,,
Platygyra,850,42,"BL346, 2015c-506, BL120",34,Medium,3,2,9,3,3,,,,,,,
Platygyra,857,43,"BL353, BG504, BL113",34,Medium,3,2,10,3,3,,,,,,,
Platygyra,906,44,,8,Medium,3,0,0,3,3,,,,,,,
Platygyra,909,45,,8,Medium,3,0,0,3,3,,,,,,,
Platygyra,914,46,BL33,8,Medium,3,0,0,3,0,,,,,,,
Platygyra,919,47,BL38,8,Medium,3,0,0,3,3,,,,,,,
Platygyra,925,48,,35,Medium,3,0,0,3,3,,,,,,,
Platygyra,928,49,2016a-057,35,Medium,3,0,0,3,0,,,,,,,
Platygyra,933,50,2016a-062,35,Medium,3,0,0,3,3,,,,,,,
Platygyra,1008,10,,37,VeryLow,5,0,0,3,3,,,,,,,
Platygyra,1013,11,,37,VeryLow,5,0,0,2,3,,,,,,,
Platygyra,1017,12,,37,VeryLow,5,0,0,2,3,,,,,,,
Platygyra,1020,13,BL212,37,VeryLow,5,0,0,3,3,,,,,,,
Platygyra,1022,14,,37,VeryLow,5,0,0,3,3,,,,,,,
Platygyra,1023,15,,37,VeryLow,5,0,0,3,3,,,,,,,
Platygyra,1024,16,,37,VeryLow,5,0,0,3,3,,,,,,,
Platygyra,1028,17,BL235,37,VeryLow,5,0,0,3,3,,,,,,,
Platygyra,1030,18,BL237,37,VeryLow,5,0,0,3,0,,,,,,,
Platygyra,1031,19,,37,VeryLow,5,0,0,3,3,,,,,,,
Platygyra,1036,57,2016a-261,40,High,2,0,0,3,3,,,,,,,
Platygyra,1049,58,BL265,40,High,2,0,0,8,3,,,,,,,
Platygyra,1055,59,BL272,40,High,2,0,0,3,3,,,,,,,
Platygyra,1011b,20,,37,VeryLow,5,0,0,2,0,,,,,,,
Platygyra,248_696,51,"OR248, G179, BG385, BL4",8,Medium,3,2,2,3,0,,,,,,,
Platygyra,338_1168,52,OR338,34,Medium,3,2,0,0,1,,,,,,,
Platygyra,410_893,60,"2014-410, 2015c-428",25,High,2,2,2,0,0,,,,,,,
Platygyra,486_740,78,"OR486, G188",32,VeryHigh,1,3,0,0,0,,,,,,,
Platygyra,612_1270,21,"15-52, BG126, BL164",15,VeryLow,5,2,2,3,3,,,,,,,
Platygyra,754_899,79,"G231, BG468, BL17",32,VeryHigh,1,3,3,3,3,,,,,,,