Field.Season,site,Site,Fish.Level,coralnet.tag,percent.cover,percent.cover.se
KI2013,14,site14,Medium,Sand,7.927659966,5.704601646
KI2013,14,site14,Medium,Sediment,38.03060825,4.210514522
KI2014,14,site14,Medium,Sand,22.18380934,7.905017647
KI2014,14,site14,Medium,Sediment,38.32233465,5.426534517
KI2013,15,site15,Very.Low,Sand,0,0
KI2013,15,site15,Very.Low,Sediment,0,0
KI2015a,15,site15,Very.Low,Sand,0,0
KI2015a,15,site15,Very.Low,Sediment,0.146466738,0.069232783
KI2015b,15,site15,Very.Low,Sand,0,0
KI2015b,15,site15,Very.Low,Sediment,0.942432887,0.432074741
KI2013,19,site19,Very.Low,Sand,0,0
KI2013,19,site19,Very.Low,Sediment,0,0
KI2013,25,site25,Medium,Sand,8.575532051,2.396132155
KI2013,25,site25,Medium,Sediment,12.07850302,2.185465457
KI2014,25,site25,Medium,Sand,5.892835373,1.614511586
KI2014,25,site25,Medium,Sediment,7.63349744,1.259926917
KI2013,27,site27,Very.High,Sand,8.14310326,1.223759084
KI2013,27,site27,Very.High,Sediment,41.88708406,2.733363745
KI2014,27,site27,Very.High,Sand,10.82933416,1.952896661
KI2014,27,site27,Very.High,Sediment,36.65825244,5.549967515
KI2015a,27,site27,Very.High,Sand,9.792929293,2.031380356
KI2015a,27,site27,Very.High,Sediment,29.52097849,2.806219604
KI2015b,27,site27,Very.High,Sand,5.037037037,1.279504451
KI2015b,27,site27,Very.High,Sediment,76.33299663,3.366596625
KI2013,3,site3,Low,Sand,0.616463033,0.346169558
KI2013,3,site3,Low,Sediment,6.546004819,2.204339176
KI2014,3,site3,Low,Sand,0.740055089,0.30995829
KI2014,3,site3,Low,Sediment,2.368034343,0.598817571
KI2013,30,site30,Very.High,Sand,10.54110733,2.189108425
KI2013,30,site30,Very.High,Sediment,17.99613921,1.834913453
KI2014,30,site30,Very.High,Sand,11.91887691,2.76339376
KI2014,30,site30,Very.High,Sediment,17.63569411,2.134920526
KI2015a,30,site30,Very.High,Sand,10.99291853,1.84765172
KI2015a,30,site30,Very.High,Sediment,25.67458664,2.846107926
KI2015b,30,site30,Very.High,Sand,15.48005016,3.844960512
KI2015b,30,site30,Very.High,Sediment,26.90543954,2.883167686
KI2013,32,site32,Very.High,Sand,26.38435786,5.683935655
KI2013,32,site32,Very.High,Sediment,17.77474513,2.237396102
KI2015b,32,site32,Very.High,Sand,3.404776073,0.83661095
KI2015b,32,site32,Very.High,Sediment,16.50122864,2.81737816
KI2013,34,site34,Medium,Sand,6.322036491,1.209647418
KI2013,34,site34,Medium,Sediment,13.37559532,1.590681338
KI2014,34,site34,Medium,Sand,10.70812425,2.362282228
KI2014,34,site34,Medium,Sediment,10.72984563,1.365609547
KI2015b,34,site34,Medium,Sand,4.999766371,1.455760632
KI2015b,34,site34,Medium,Sediment,21.41438879,2.582001254
KI2013,35,site35,Medium,Sand,19.82752171,5.729677308
KI2013,35,site35,Medium,Sediment,11.55376836,2.260922378
KI2014,35,site35,Medium,Sand,1.951401773,0.602675427
KI2014,35,site35,Medium,Sediment,6.478637988,1.142181079
KI2015a,35,site35,Medium,Sand,0.37281058,0.192386214
KI2015a,35,site35,Medium,Sediment,23.34001617,3.144732113
KI2015b,35,site35,Medium,Sand,0.436384251,0.171520408
KI2015b,35,site35,Medium,Sediment,18.20766293,3.101042131
KI2014,38,site38,Low,Sand,7.669711433,1.827747652
KI2014,38,site38,Low,Sediment,4.287999315,0.783992581
KI2015b,5,site5,Very.Low,Sand,0,0
KI2015b,5,site5,Very.Low,Sediment,5.247949529,0.783981772
KI2013,8,site8,Medium,Sand,2.958460607,1.376070992
KI2013,8,site8,Medium,Sediment,3.7872768,0.838661212
KI2014,8,site8,Medium,Sand,10.67382823,3.590529905
KI2014,8,site8,Medium,Sediment,10.51076167,2.133082308
KI2015a,8,site8,Medium,Sand,7.608748143,1.445983452
KI2015a,8,site8,Medium,Sediment,37.04114427,3.064651563
KI2015b,8,site8,Medium,Sand,7.689820571,2.418683238
KI2015b,8,site8,Medium,Sediment,35.83825349,4.060286728